Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2025-09-28,Rennes,Lens,0,0,2.80,3.60,2.65
2025-09-28,Angers,Brest,0,2,3.42,3.30,2.45
2025-09-28,Lille,Lyon,0,1,2.35,3.56,3.29
2025-09-28,Metz,Le Havre,0,0,2.62,3.42,2.88
2025-09-28,Nice,Paris FC,1,1,2.20,3.70,3.50
2025-09-27,PSG,Auxerre,2,0,1.25,7.90,15.00
2025-09-27,Toulouse,Nantes,2,2,1.82,3.85,5.57
2025-09-27,Lorient,Monaco,3,1,4.36,4.03,1.97
2025-09-26,Strasbourg,Marseille,1,2,3.34,3.70,2.25
2025-09-22,Marseille,PSG,1,0,4.40,3.95,1.91
2025-09-21,Auxerre,Toulouse,1,0,3.54,3.37,2.28
2025-09-21,Le Havre,Lorient,1,1,2.20,3.49,3.90
2025-09-21,Monaco,Metz,5,2,1.36,6.10,9.36
2025-09-21,Paris FC,Strasbourg,2,3,2.45,3.50,3.06
2025-09-20,Lens,Lille,3,0,2.41,3.57,3.31
2025-09-20,Brest,Nice,4,1,3.25,3.65,2.35
2025-09-20,Nantes,Rennes,2,2,4.22,3.58,2.05
2025-09-19,Lyon,Angers,1,0,1.50,4.80,7.50
2025-09-14,Rennes,Lyon,3,1,2.71,3.60,2.95
2025-09-14,Brest,Paris FC,1,2,2.80,3.69,3.05
2025-09-14,Metz,Angers,1,1,2.42,3.45,3.40
2025-09-14,PSG,Lens,2,0,1.39,5.99,8.35
2025-09-14,Strasbourg,Le Havre,1,0,1.87,4.24,5.14
2025-09-14,Lille,Toulouse,2,1,1.95,4.01,4.58
2025-09-13,Auxerre,Monaco,1,2,5.30,4.72,1.63
2025-09-13,Nice,Nantes,1,0,1.72,4.40,6.59
2025-09-12,Marseille,Lorient,4,0,1.38,5.65,9.30
2025-08-31,Lyon,Marseille,1,0,3.01,3.60,2.55
2025-08-31,Le Havre,Nice,3,1,3.33,3.51,2.34
2025-08-31,Monaco,Strasbourg,3,2,1.48,5.32,7.50
2025-08-31,Paris FC,Metz,3,2,1.80,4.04,4.79
2025-08-31,Angers,Rennes,1,1,4.75,3.77,1.87
2025-08-30,Toulouse,PSG,3,6,8.90,5.60,1.37
2025-08-30,Nantes,Auxerre,1,0,2.62,3.38,3.07
2025-08-30,Lorient,Lille,1,7,3.41,3.59,2.22
2025-08-29,Lens,Brest,3,1,1.99,3.80,4.05
2025-08-24,Lille,Monaco,1,0,3.45,3.76,2.20
2025-08-24,Le Havre,Lens,1,2,4.70,3.90,1.90
2025-08-24,Strasbourg,Nantes,1,0,1.81,3.70,5.50
2025-08-24,Toulouse,Brest,2,0,2.34,3.49,3.36
2025-08-24,Lorient,Rennes,4,0,2.85,3.44,2.65
2025-08-23,Lyon,Metz,3,0,1.44,5.28,7.80
2025-08-23,Nice,Auxerre,3,1,1.90,4.00,4.80
2025-08-23,Marseille,Paris FC,5,2,1.46,5.20,8.00
2025-08-22,PSG,Angers,1,0,1.10,16.50,36.00
2025-08-17,Nantes,PSG,0,1,14.50,7.50,1.23
2025-08-17,Angers,Paris FC,1,0,3.15,3.45,2.44
2025-08-17,Auxerre,Lorient,1,0,2.62,3.40,3.09
2025-08-17,Metz,Strasbourg,0,1,4.10,3.60,2.07
2025-08-17,Brest,Lille,3,3,2.68,3.35,3.07
2025-08-16,Nice,Toulouse,0,1,2.08,3.60,4.44
2025-08-16,Monaco,Le Havre,3,1,1.25,7.20,12.77
2025-08-16,Lens,Lyon,0,1,2.57,3.55,2.88
2025-08-15,Rennes,Marseille,1,0,4.20,3.83,1.98
