Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
2025-11-08,Espanyol,Villarreal,0,2,3.04,3.55,2.60
2025-11-08,Atl. Madrid,Levante,3,1,1.25,7.40,13.00
2025-11-08,Sevilla,Osasuna,1,0,2.39,3.40,3.45
2025-11-08,Girona,Alaves,1,0,2.22,3.40,3.75
2025-11-07,Elche,Real Sociedad,1,1,3.34,3.20,2.54
2025-11-03,Oviedo,Osasuna,0,0,3.26,3.20,2.62
2025-11-02,Betis,Mallorca,3,0,1.66,4.45,5.98
2025-11-02,Barcelona,Elche,3,1,1.25,7.97,14.60
2025-11-02,Alaves,Espanyol,2,1,2.54,3.20,3.32
2025-11-02,Levante,Celta Vigo,1,2,3.23,3.50,2.50
2025-11-01,Real Madrid,Valencia,4,0,1.24,10.50,20.00
2025-11-01,Real Sociedad,Ath Bilbao,3,2,2.84,3.10,3.00
2025-11-01,Atl. Madrid,Sevilla,3,0,1.42,5.27,9.27
2025-11-01,Villarreal,Rayo Vallecano,4,0,1.78,4.00,5.00
2025-10-31,Getafe,Girona,2,1,2.31,3.10,4.12
2025-10-27,Betis,Atl. Madrid,0,2,3.55,3.82,2.20
2025-10-26,Rayo Vallecano,Alaves,1,0,2.28,3.20,4.08
2025-10-26,Osasuna,Celta Vigo,2,3,2.45,3.35,3.26
2025-10-26,Real Madrid,Barcelona,2,1,2.00,4.50,3.70
2025-10-26,Mallorca,Levante,1,1,2.13,3.60,4.24
2025-10-25,Valencia,Villarreal,0,2,3.83,3.65,2.23
2025-10-25,Ath Bilbao,Getafe,0,1,1.69,3.63,7.00
2025-10-25,Espanyol,Elche,1,0,2.10,3.50,4.35
2025-10-25,Girona,Oviedo,3,3,1.85,3.75,5.61
2025-10-24,Real Sociedad,Sevilla,2,1,2.03,3.65,4.10
2025-10-20,Alaves,Valencia,0,0,2.30,3.30,4.04
2025-10-19,Getafe,Real Madrid,0,1,7.80,4.60,1.50
2025-10-19,Levante,Rayo Vallecano,0,3,2.76,3.55,2.80
2025-10-19,Celta Vigo,Real Sociedad,1,1,2.13,3.58,4.04
2025-10-19,Elche,Ath Bilbao,0,0,4.32,3.45,2.17
2025-10-18,Atl. Madrid,Osasuna,1,0,1.38,5.26,11.01
2025-10-18,Villarreal,Betis,2,2,2.18,3.75,3.94
2025-10-18,Barcelona,Girona,2,1,1.24,8.00,13.50
2025-10-18,Sevilla,Mallorca,1,3,1.90,3.55,5.23
2025-10-17,Oviedo,Espanyol,0,2,3.03,3.19,2.75
2025-10-05,Celta Vigo,Atl. Madrid,1,1,5.12,3.81,1.85
2025-10-05,Espanyol,Betis,1,2,2.78,3.46,2.90
2025-10-05,Real Sociedad,Rayo Vallecano,0,1,2.22,3.50,3.62
2025-10-05,Sevilla,Barcelona,4,1,6.25,5.13,1.53
2025-10-05,Alaves,Elche,3,1,2.30,3.20,4.10
2025-10-04,Real Madrid,Villarreal,3,1,1.43,5.40,8.19
2025-10-04,Ath Bilbao,Mallorca,2,1,1.66,3.80,6.75
2025-10-04,Girona,Valencia,2,1,2.48,3.40,3.20
2025-10-04,Oviedo,Levante,0,2,2.47,3.30,3.21
2025-10-03,Osasuna,Getafe,2,1,2.23,2.95,4.29
2025-09-30,Valencia,Oviedo,1,2,1.78,3.51,5.46
2025-09-28,Betis,Osasuna,2,0,1.93,3.70,4.61
2025-09-28,Barcelona,Real Sociedad,2,1,1.42,5.50,8.66
2025-09-28,Elche,Celta Vigo,2,1,3.01,3.25,2.72
2025-09-28,Rayo Vallecano,Sevilla,0,1,2.14,3.50,4.18
2025-09-27,Villarreal,Ath Bilbao,1,0,2.12,3.45,4.22
2025-09-27,Mallorca,Alaves,1,0,2.56,2.91,3.57
2025-09-27,Atl. Madrid,Real Madrid,5,2,3.37,3.65,2.31
2025-09-27,Getafe,Levante,1,1,2.17,3.25,4.10
2025-09-26,Girona,Espanyol,0,0,2.78,3.55,2.95
2025-09-25,Oviedo,Barcelona,1,3,15.00,7.40,1.24
2025-09-25,Osasuna,Elche,1,1,1.95,3.50,5.25
2025-09-24,Atl. Madrid,Rayo Vallecano,3,2,1.48,4.60,8.56
2025-09-24,Real Sociedad,Mallorca,1,0,1.80,3.65,5.30
2025-09-24,Getafe,Alaves,1,1,2.13,3.00,4.90
2025-09-23,Levante,Real Madrid,1,4,9.69,6.20,1.37
2025-09-23,Sevilla,Villarreal,1,2,3.58,3.50,2.25
2025-09-23,Ath Bilbao,Girona,1,1,1.53,4.50,7.58
2025-09-23,Espanyol,Valencia,2,2,2.45,3.35,3.35
2025-09-21,Barcelona,Getafe,3,0,1.27,6.75,12.20
2025-09-21,Elche,Oviedo,1,0,2.08,3.50,4.38
2025-09-21,Mallorca,Atl. Madrid,1,1,5.41,3.66,1.83
2025-09-21,Rayo Vallecano,Celta Vigo,1,1,2.10,3.58,3.99
2025-09-20,Valencia,Ath Bilbao,2,0,3.80,3.30,2.35
2025-09-20,Alaves,Sevilla,1,2,2.49,3.15,3.51
2025-09-20,Villarreal,Osasuna,2,1,1.75,3.90,5.50
2025-09-20,Real Madrid,Espanyol,2,0,1.22,7.90,15.90
2025-09-20,Girona,Levante,0,4,1.90,3.90,4.50
2025-09-19,Betis,Real Sociedad,3,1,2.05,3.79,4.05
2025-09-15,Espanyol,Mallorca,3,2,2.28,3.30,3.76
2025-09-14,Barcelona,Valencia,6,0,1.40,7.27,11.83
2025-09-14,Osasuna,Rayo Vallecano,2,0,2.87,3.22,3.00
2025-09-14,Levante,Betis,2,2,4.00,3.70,2.29
2025-09-14,Celta Vigo,Girona,1,1,1.90,4.30,5.05
2025-09-13,Atl. Madrid,Villarreal,2,0,1.85,3.91,4.82
2025-09-13,Ath Bilbao,Alaves,0,1,1.65,3.85,6.60
2025-09-13,Real Sociedad,Real Madrid,1,2,5.93,4.51,1.63
2025-09-13,Getafe,Oviedo,2,0,2.04,3.11,5.06
2025-09-12,Sevilla,Elche,2,2,1.95,3.51,4.65
2025-08-31,Rayo Vallecano,Barcelona,1,1,7.26,5.31,1.46
2025-08-31,Espanyol,Osasuna,1,0,2.59,3.20,3.20
2025-08-31,Betis,Ath Bilbao,1,2,3.34,3.35,2.45
2025-08-31,Celta Vigo,Villarreal,1,1,3.41,3.60,2.31
2025-08-30,Real Madrid,Mallorca,2,1,1.19,8.50,18.50
2025-08-30,Girona,Sevilla,0,2,2.52,3.20,3.17
2025-08-30,Oviedo,Real Sociedad,1,0,3.55,3.30,2.38
2025-08-30,Alaves,Atl. Madrid,1,1,5.93,3.65,1.75
